dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema,table_name,column_name
postgresql,ecommerce_cloud,walmart,cust1,unique_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,cust2,unique_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,products,product_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,customer_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,cust1_id,2,integer,,UNIQUE,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,cust2_id,3,integer,,UNIQUE,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,cust1_id,2,integer,,FOREIGN KEY,walmart,cust1,unique_id
postgresql,ecommerce_cloud,walmart,customers_lookup,cust2_id,3,integer,,FOREIGN KEY,walmart,cust2,unique_id
postgresql,ecommerce_cloud,walmart,transactions,transaction_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,transactions,unique_id,2,integer,,FOREIGN KEY,walmart,customers_lookup,customer_id
postgresql,ecommerce_cloud,walmart,transactions,product_id,3,integer,,FOREIGN KEY,walmart,products,product_id
postgresql,ecommerce_cloud,dev_walmart,dim_date,weekday_name,6,text,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_date,real_date,1,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,products,holding_cost_per_unit,7,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,segment_id,2,integer,,,,,
postgresql,ecommerce_cloud,walmart,products,created_at,10,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,cust2,city,3,character varying,50,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_clv,total_orders,3,bigint,,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,customer_id,2,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,stock,4,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_avg_cat_orders,avg_order_value,4,double precision,,,,,
postgresql,ecommerce_cloud,walmart,transactions,run_id,8,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,last_purchase_date,9,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,city_category,6,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,eoq,8,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,gender,5,character varying,10,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_date,year,3,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,ordering_cost,6,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,unit_price,3,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_date,date_key,2,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_avg_cat_orders,total_orders,3,bigint,,,,,
postgresql,ecommerce_cloud,walmart,products,lead_days,5,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust1,updated_at,11,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,unit_price,7,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,quantity,6,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,visit_prob,3,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_avg_cat_orders,total_spent,2,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,payment_method,7,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,segment_id,3,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust1,marital_status,6,character varying,10,,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,segment_id,4,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust2,customer_type,4,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,customer_id,1,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust1,age,2,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,signup_date,8,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,products,updated_at,11,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,stay_in_current_city_years,7,character varying,10,,,,
postgresql,ecommerce_cloud,walmart,cust2,segment_id,8,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust2,branch,2,character varying,50,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_clv,customer_id,1,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,date_key,1,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust2,run_id,7,character varying,20,,,,
postgresql,ecommerce_cloud,walmart,transactions,unit_price,4,double precision,,,,,
postgresql,ecommerce_cloud,walmart,transactions,quantity,5,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,product_id,4,integer,,,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,run_id,5,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,product_id,1,integer,,,,,
postgresql,ecommerce_cloud,walmart,products,category,2,character varying,100,,,,
postgresql,ecommerce_cloud,walmart,cust2,gender,5,character varying,10,,,,
postgresql,ecommerce_cloud,walmart,cust1,created_at,10,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,cust2,updated_at,10,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,gender,6,character varying,10,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_clv,lifetime_days,4,numeric,,,,,
postgresql,ecommerce_cloud,walmart,transactions,created_at,9,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,last_purchase_date,10,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_purchase_frequency,order_count,2,bigint,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,updated_at,10,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_clv,total_amount,2,double precision,,,,,
postgresql,ecommerce_cloud,walmart,transactions,date_purchased,6,date,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,branch,3,character varying,50,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,segment_id,2,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust1,visit_prob,8,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,marital_status,8,character varying,10,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,category,8,character varying,100,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,customer_type,5,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_date,month,4,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,age,4,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust2,payment_method,6,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,category,2,character varying,100,,,,
postgresql,ecommerce_cloud,walmart,cust1,stay_in_current_city_years,5,character varying,10,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_segment_value,total_spent,2,double precision,,,,,
postgresql,ecommerce_cloud,walmart,products,run_id,9,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,holding_cost_per_unit,7,double precision,,,,,
postgresql,ecommerce_cloud,walmart,cust1,city_category,4,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_segment_value,total_orders,3,bigint,,,,,
postgresql,ecommerce_cloud,walmart,cust1,gender,3,character varying,10,,,,
postgresql,ecommerce_cloud,walmart,cust2,created_at,9,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,cust1,run_id,9,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_segment_value,segment_id,1,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_segment_value,rank,4,bigint,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_avg_cat_orders,category,1,character varying,100,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,transaction_id,5,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,created_at,9,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,transactions,category,7,character varying,100,,,,
postgresql,ecommerce_cloud,walmart,products,eoq,8,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,city,4,character varying,50,,,,
postgresql,ecommerce_cloud,walmart,products,stock,4,integer,,,,,
postgresql,ecommerce_cloud,walmart,cust1,segment_id,7,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_date,day,5,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_purchase_frequency,order_date,1,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,lead_days,5,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,customer_id,1,integer,,,,,
postgresql,ecommerce_cloud,walmart,products,unit_price,3,double precision,,,,,
postgresql,ecommerce_cloud,walmart,products,ordering_cost,6,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,signup_date,9,timestamp without time zone,,,,,
